no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,no_of_special_requests,booking_status
2,0,1,2,Meal Plan 1,0,Room_Type 1,2017,10,2,Offline,0,0,0,0,Not_Canceled
2,0,2,3,Not Selected,0,Room_Type 1,2018,11,6,Online,0,0,0,1,Not_Canceled
1,0,2,1,Meal Plan 1,0,Room_Type 1,2018,2,28,Online,0,0,0,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,2018,5,20,Online,0,0,0,0,Canceled
2,0,1,1,Not Selected,0,Room_Type 1,2018,4,11,Online,0,0,0,0,Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,2018,9,13,Online,0,0,0,1,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,2017,10,15,Online,0,0,0,1,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 4,2018,12,26,Online,0,0,0,1,Not_Canceled
3,0,0,4,Meal Plan 1,0,Room_Type 1,2018,7,6,Offline,0,0,0,1,Not_Canceled
2,0,0,5,Meal Plan 1,0,Room_Type 4,2018,10,18,Online,0,0,0,3,Not_Canceled
1,0,1,0,Not Selected,0,Room_Type 1,2018,9,11,Online,0,0,0,0,Not_Canceled
1,0,2,1,Meal Plan 1,0,Room_Type 4,2018,4,30,Online,0,0,0,1,Not_Canceled
2,0,2,1,Not Selected,0,Room_Type 1,2018,11,26,Online,0,0,0,0,Canceled
1,0,2,0,Meal Plan 1,0,Room_Type 1,2018,11,20,Online,0,0,0,2,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,2017,10,20,Online,0,0,0,2,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,2018,6,15,Online,0,0,0,1,Canceled
1,0,1,0,Meal Plan 1,0,Room_Type 1,2017,10,5,Offline,0,0,0,0,Not_Canceled
2,0,1,3,Not Selected,0,Room_Type 1,2017,8,10,Online,0,0,0,1,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,2017,10,30,Online,0,0,0,0,Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 1,2017,10,4,Offline,0,0,0,0,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,2017,10,30,Online,0,0,0,0,Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,2018,11,25,Corporate,0,0,0,0,Not_Canceled
2,0,2,4,Meal Plan 1,0,Room_Type 1,2018,3,20,Offline,0,0,0,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,2018,10,13,Offline,0,0,0,0,Not_Canceled
2,0,2,1,Not Selected,0,Room_Type 1,2018,5,22,Online,0,0,0,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,2018,4,28,Online,0,0,0,1,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,2017,9,21,Offline,0,0,0,0,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 4,2018,5,19,Aviation,0,0,0,0,Canceled
1,0,1,2,Meal Plan 1,0,Room_Type 1,2017,11,6,Online,0,0,0,0,Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,2017,9,17,Offline,0,0,0,0,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 4,2017,9,19,Online,0,0,0,1,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,2018,11,13,Online,0,0,0,1,Not_Canceled
0,2,0,3,Meal Plan 1,0,Room_Type 2,2018,12,7,Online,0,0,0,1,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,2018,1,9,Online,0,0,0,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,2018,10,7,Offline,0,0,0,0,Not_Canceled
2,0,0,1,Not Selected,1,Room_Type 1,2018,4,27,Online,0,0,0,1,Not_Canceled
1,0,2,1,Meal Plan 1,0,Room_Type 1,2018,6,19,Online,0,0,0,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,2017,10,17,Offline,0,0,0,0,Not_Canceled
2,0,2,3,Not Selected,0,Room_Type 1,2018,11,19,Online,0,0,0,0,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 4,2018,7,30,Online,0,0,0,1,Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,2018,11,1,Online,0,0,0,2,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,2018,6,21,Online,0,0,0,1,Not_Canceled
3,0,2,1,Meal Plan 1,0,Room_Type 1,2018,4,10,Online,0,0,0,1,Not_Canceled
2,0,1,1,Not Selected,0,Room_Type 1,2018,6,27,Online,0,0,0,1,Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 4,2017,11,18,Offline,0,0,0,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,2017,12,29,Offline,0,0,0,0,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,2017,11,20,Offline,0,0,0,0,Not_Canceled
2,0,0,1,Meal Plan 2,0,Room_Type 1,2018,4,6,Offline,0,0,0,0,Not_Canceled
2,0,0,4,Not Selected,0,Room_Type 1,2018,11,1,Online,0,0,0,1,Not_Canceled
1,0,1,3,Meal Plan 1,0,Room_Type 4,2018,12,29,Online,0,0,0,2,Not_Canceled
1,0,2,5,Not Selected,0,Room_Type 1,2018,5,30,Online,0,0,0,0,Not_Canceled
2,0,2,2,Meal Plan 2,0,Room_Type 1,2018,4,22,Online,0,0,0,0,Canceled
1,0,1,2,Meal Plan 1,0,Room_Type 1,2018,5,16,Online,0,0,0,1,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 4,2017,11,11,Offline,0,0,0,1,Not_Canceled
2,0,1,0,Not Selected,0,Room_Type 1,2018,6,13,Online,0,0,0,2,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,2018,5,19,Online,0,0,0,1,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,2018,7,28,Online,0,0,0,1,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,2018,12,26,Online,0,0,0,2,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 4,2018,4,20,Online,0,0,0,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,2018,4,6,Online,0,0,0,1,Not_Canceled
2,2,0,1,Meal Plan 1,1,Room_Type 6,2018,9,2,Online,0,0,0,1,Not_Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 4,2018,5,3,Online,0,0,0,2,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,2018,6,24,Offline,0,0,0,0,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,2017,9,10,Complementary,0,0,0,1,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,2018,12,18,Offline,0,0,0,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,2018,10,5,Online,0,0,0,2,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 4,2018,6,3,Online,0,0,0,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 4,2018,4,15,Online,0,0,0,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,2018,4,6,Offline,0,0,0,0,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,2018,4,25,Online,0,0,0,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,2018,8,25,Offline,0,0,0,0,Not_Canceled
2,0,1,0,Not Selected,0,Room_Type 1,2018,11,14,Online,0,0,0,2,Not_Canceled
2,0,1,1,Meal Plan 1,1,Room_Type 1,2018,8,29,Online,0,0,0,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,2018,6,3,Online,0,0,0,0,Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 4,2017,10,25,Offline,0,0,0,0,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 4,2018,3,9,Online,0,0,0,1,Not_Canceled
3,0,1,1,Meal Plan 1,0,Room_Type 4,2018,12,31,Online,0,0,0,0,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,2018,6,27,Online,0,0,0,1,Not_Canceled
3,0,2,5,Meal Plan 1,0,Room_Type 4,2018,6,28,Online,0,0,0,2,Canceled
